," =COUNTIF(A:A,A1)>1"
cee111fc-18e1-0c39-0a887e4523eb,CSS-ARR-2205100030000546-Job Aborted/Job Delay during scheduled run
d16e89cf-5f40-8ab7-72fdb2b73259,genie
aec799a8-4e80-4fc7-bc28d6c126ce,Repos ALLOW list not working
1e9967a4-89f8-d9f1-d9e50954fed2,Pycrypto installation failed using init script
2aad070b-4997-0fd7-826ea5268560,2205020050001403 genie
4cb0dcc4-c679-50e9-cadc43f34ffd,unable to create Db and tables
bdafcf53-5528-cff4-05a29c586956,2205100030000546_Need Genie Access
84716862-162e-b2eb-2f5ed4624ed7,Genie Access
bf1bcc41-829c-f14f-7896c4d2e228,genie
461f3044-bbad-bf65-578cbeea0f51,Scheduled Job - Pass start date as parameter to notebook
2c3e11e5-21b7-f27d-54f5ea54a52c,Ganglia Historical metrics snapshots issue
5dcfa1c4-aad2-fb07-e0556e1db601,2.20E+15
20fc502d-da4f-8652-f5992d4837d3,2.20E+15
2ef13329-64fb-a005-369c370896d5,Multiple Production job failure due to RuntimeException
93e26f91-eabb-f45c-26b3f2cd21f7,"Connecting from fivetran to databricks  throwing error Check version compatibility: Failed to read databricks cluster version. Error : {""error_code"":""403"",""message"":""Unauthorized access to Org: 3438608682691136""}"
b0b71177-39bd-df78-73cb16964858,Genie access request
dbae166e-5433-dd64-c7d5d7e6cda0,ARR- Existing cluster does not sync after job cluster finish- 2204260050002691
297d3471-2e56-a056-572bd7191ee7,Genie: Coles|| 2205090030000973 || Sev A
6326b645-ef8c-1dc0-913e4c639979,Uncaught TypeError: Cannot Read Properties of Undefined
4a1eb0ea-eb07-bf47-be3c5328233c,Need help integrating SSO at account level
18005b21-fa34-ce17-e91a955c100e,Debug cluster init script
489a38d9-02ac-bad8-8a0ba812147e,errors running deployment script in databricks
bc82b972-f039-ccdc-b90c7568f10d,DBU Usage Log Issue
cd6271c1-785f-c9be-c973894c6001,GC Issues
00e78a41-0480-fda3-e943f251bc3d,Issues connecting SQL Endpoint in R Shiny Application
e28e7732-1550-4c46-ff4fb5a278c6,2205040040003792 | Job Failure
dfa4b7bf-1967-6b3b-cda5a1234e22,Cluster unable to access Delta tables and S3
c6287650-f4e5-3db2-510ca29f0a24,Failed to import custom library inside mlflow.run()
9ef71809-ef46-4023-b09b394c2575,Genie for 2204120030001216 
74988a0a-3b1b-5d3f-263e68a6e8e8,Follow Up 00142454
98abbc11-114e-22c9-b31206e2541b,connection to rds mysql server hosted by databricks reset/disconnected error in cluster log
83f7f14b-abd5-0997-ae83bee6c53e,Unrecognized parameter external_customer_info when creating new OEM workspace
ad75b985-64c2-e0fb-20cfd1ede56d,2204220010000657 | Job Failure
c9d068eb-31a4-a76d-e691bbe94a26,from_json: Space in column name in schema string literal
d67673a9-5c21-2089-9a86a166e086,Autoscaling not working
5670444e-be9c-2cbe-a15b61b42753,"""No such file or directory"" error when using databricks impor_dir cli"
56095bcb-3aff-c42e-ab2a98b23bee,Execution taking longer time
49c36751-e01c-3845-1a5ea6375b67,Use s3 access point
66a5411d-8682-433c-9549f5bf3b67,Connecting to Eventhubs using AAD
bd5b4307-fbe3-1d15-9ac21bd0acbd,DBX temporarily unavailable in one of our environments
8071aa69-d6cf-81e9-0eb47b913a7c,Genie Access Request
2e1925bd-413b-fcf0-ef992cc0e43e,ARR | Genie | workspace settings require DBR 8.4+ to access Files in Repos from clusters | #2205050040003382
384b15b5-9bcd-ee4c-33852a2354d7,Configuration HiveServerType is not available
fb2daf62-93f5-6bcd-8ff69898e445,Link data content to access history on Databricks SQL
df330524-cc65-361a-8f8c2e08df21,errors running deployment script in databricks
62e20f39-0a58-e02e-6a53270dd332,errors running deployment script in databricks
80b19320-51cf-a8ce-0ad09a6853ba,Pyspark SQL Dataframe: Incorrect / Inconsistent Count Results
5c47a013-711b-6d96-c11748e26daf,Genie - 2205090030001856
fb2e39de-5131-dcd3-ba5bd293b514,Cluster not starting up
61604a47-a87b-1a1d-03a422d0abf0,We are using Databricks Native connecter to connect with Power BI and While refreshing the report we are getting SSL read error
ce22fdc7-a9c2-93f6-afbf0ce989ad,Need Info from Cloud_Launch_Failure Errors
e6c4e67c-b176-c630-679c3fbd9bc8,Intermittent errors while upsizing the nodes.
4e8f8290-2c56-c4be-f21551f8cd5e,Genie Access Request
579b6dab-63c3-d871-194ef4bb6867,ARR | getting time out error when jobs are triggered
a578b5e3-69f2-31ba-7f3c6ab76da1,Unexpected failure while waiting for the cluster
de782f25-c857-d4c5-b72894685a82,failure to clean up existing notifications on S3 bucket 
5c4504d2-775f-2b0f-fb4bfa5aedaa,2.20E+15
584e64e9-ffc7-7bca-39522079d74a,Issues with model serve from mlflow
b49c70b9-a03f-7aeb-31c74a78511e,Opening Error
1dcd4bdf-2af2-01fb-7a357fc93089,Autoloader File Notification Config Issue
52932b97-c2b1-0cd5-0c7f0811db13,Need documentation to integrate bitbucket Server with Databricks
4f1d887f-ac77-d907-bb8b138177cc,genie for #2203210030001488
e74d3092-c656-a9dd-dbf123af3841,Cluster issues
9f22e0ae-e80b-0452-27968f575148,genie
ba995473-ffb1-9d01-e14af9282562,Optimize Table 
b80e3ae1-84d0-30e6-40dd859f7c5f,Question on managed table
7f9bfff0-1cc2-1756-cc857f595027,Genie
3602618a-7933-c422-48e957964491,Error while migrating database from hive to glue
389e37d1-8291-a2df-b2590b2bb36b,Billing invoice
54277ad7-6807-7b98-7f769ab3652a,Error connecting to Trino JDBC
13717f53-48f4-8290-7a6388ba12e9,Jobs not terminating
b1eec4ec-fce5-cd8b-140137fcca51,Genie
75e5a750-4a3e-df79-435c4a0c3828,ARR | notebook failure | 2204040050001708
3d2f30e6-bad2-2cf6-db326c879b33,Cluster creation failing with Instance Profile
d85bfb86-0528-0e92-f379051b6246,"describe , optimize commands are not working as expected "
a7d2e820-0629-9de6-ba678345e0c5,unable to create Db and tables
932fda1b-933f-ce1c-942b2d0ed439,[ARR] Whitelist WS to use Git Enterprize 1102382472621232
64ec676f-6a0a-cf18-abe4c1e083b1,Databricks:  When clicking on completed jobs get HTTP ERROR 403
d98069e1-df27-5f7d-8d89527e9426,Databricks AMI updates
87bb7bbd-ae4a-1d65-96aaa3cbcfba,ARR | JDBC error connecting to synapse | 2204190030002165 
774ec0ee-fc2b-f1bb-e724ca99ee46,Job failed with cluster termination
0c3c94a2-5781-2e73-0e077af2c543,Unable to register a scaler model built on my training data | ARR SR# 2205060030001100
966b2399-9177-87b9-466722d3489a,2205030050001600 - Genie
f047f4a2-7a12-c248-021821d153a1,CLOUD_PROVIDER_LAUNCH_FAILURE(CLOUD_FAILURE):
13e8eba6-d213-97f7-22a70cd057a2,Business Impact field change testing.Ignore
708be22c-87b3-fc46-cfb601f6f887,"View ""exceeds the maximum view resolution depth (100)"""
779091d2-f789-b667-252e55a3bf82,genie
cb52e3ae-7d3d-6a3c-f3cb551fbfa5,Not able to start any cluster due to timeout issue
76dc5872-ac42-b016-709e689e7128,genie 2204080030001854
f7e5e030-92e4-18c7-527999fd9884,CSS-ARR-SR#2204250050001410-Maximum execution context or notebook attachment limit reached
7d10ddc5-6bfc-d418-cc37c9c88099,genie
f1f5b4f8-1d00-178d-d1fccdfc71a3,Is there a download API for databricks billing?
a58009ca-b140-ccfb-10cd1f0c9993,ARR | GAP | Job cluster with specific pool launch fail with Array Index error. | SR: 2205030010000748  
d8666802-8928-0689-2116ff2da069,pyodbc has beem installed but there still got the error :ModuleNotFoundError: No module named 'pyodbc'
ad935bef-5067-2db0-ceb8b2be91d0,2.21E+15
ca4b6ed1-bb0f-0747-379673f8958a,New Data/Table Replication Across workspaces
cb965c41-a0b1-d9b8-c442e918ab51,2205090060000315 -gennie
fbae0cb2-aa4b-4d9b-bca27b310c60,2204180040002686 |  MyFedEx | ARR
b3c83703-016b-01f6-26301a28cd57,Genie-2205090030000202
75e9c814-300f-a8d7-ded4ee65723e,Operation on deltatable is slow {Prob impacts}
2b1e7ac0-5f6d-61cd-5a7f3265be3f,Cannot select Authentication Type in Azure Genie page
16acb9bd-60d3-90cf-619544c02452,2.21E+15
89de0822-a664-cf64-8d85749c84cb,Data plane traffic from databricks compute machine to s3 is going via NAT Gateway which is causing huge bill on Nat Gateway of AWS
4533f42f-6804-79b2-b2128f84579e,Job failing while using Runtime 10.4 spark version 3.2.1
6fcfe47a-b4e2-300a-613e1654924a,genie
b135e653-1fec-10bd-896a3e624f01,using union along with function can sometimes fail
8217a019-4b00-888c-d734631fc9b3,[ARR] [Sev B] SR-2205060030001077-Postgresql connection failing for metastore because of spark configuration (spark.databricks.pyspark.enableProcessIsolation true)
c4d7ef02-ee3d-20bf-1e1a6535fad6,2205090010000402-1
cd066223-52bc-b92a-f41dadb99de7,Unable to connect to PostgreSQL remote db
dbb37f70-56d3-d8ce-b95daa67e954,2.21E+15
59c7c2a9-adf1-1e3e-a4c0038efc50,Follow up of (00143088)
eef9832c-80a6-7cf0-84ae2b6c4753,Follow up 00143996
65518787-e5d0-79a4-dec35a9e0ff9,genie
65e9f89f-9d8d-2d84-c90dc939e612,Unable to access AzureDatabricks workspace
294e59a6-f190-4e4a-967efc62dad7,Unable to access AzureDatabricks workspace
0614ad7a-c0a7-bfcd-814d2584644f, MOVE Dag is failing 
65cf583e-82de-79d1-345626e7eafd,genie 2205060030001077
f5ce1606-22af-6ae3-7c5b3845976c,Display visualizations not working with python notebooks
2bfacade-3e34-f731-7c5b1d6693a2,Need updates feature request #DB-I-5027
66b15c93-d09b-4e76-f87ba1ec8bf6, Issue with Databricks Auto Loader--2205040040007021 
d86f09c8-d182-816b-77dddd48f6c7,OCR cluster taking too long to launch after initiating the cluster--2204220040005758 
63b00083-43ee-3768-6ac260af64bb, Multiple results being returned for same code--2204290040004791 
1d1963b3-00e3-ae30-16b5a11f96b2,Timeout Issues--2204220040007031 
460db58e-dfa4-42f2-5794597f3e12,OCR cluster taking too long to launch after initiaing the cluster--2204220040005758 
62ed5415-e791-8728-ab24eea7f38f,Job crashed with py4j.Py4JNetworkException error
35dfc960-5a32-17b5-d3461174b899, Issue when filtering for boolean column in DBR 10.4
9d8c0dc5-dccf-30bb-cb7fdee2744e,"ERROR processing query/statement. Error Code: 0, SQL state: Error running query: java.io.IOException: No space left on device"
cf69babe-7d37-7938-bc752086be20,2777928729223047 - d4199cb9-58c6-44c0-901f-9824ed868a0c - 2205070040001063
19237965-16e8-88eb-234d4fd9343b,Databricks job which previously succeeded now fails with 'duplicated PyPI package' error
66c846ad-e48d-e64f-e8af0ec55634,Photon out of Memory Issue on the XPOPD Monthly Dag
9040742e-875a-b454-6f90bf77a8ee,Data Security
45982fea-dc0b-b813-5d384479862d,Genie Access request
965d0b25-3cb7-3f94-2e4e5f18e478,The VMs are not getting deallocated and costing to us
5b4d501f-9226-87d8-cf9d16c186e0,Genie - 2205070050000066 
15c114d5-58b6-9dd5-4db54ed3e89f,ARR | S500 | 2205070050000069 | the rate limit increase request which is 100 nodes per minute
35dcb4ab-2c79-7f73-cf90c7a71804,Job failure due to cluster error
098601eb-3926-720f-20549cda69af,Failed to find data source: com.microsoft.sqlserver.jdbc.spark
d4168c13-32f4-f1fb-441cf6804841,6772 - ARR - Morgan Stanley - stderr stdout are not accessible on the executors.
beda59de-17d6-d585-079e02c84fc4,2205050040007762 - genie access
f429d16c-22f4-5327-de8374bd009a,Genie
dace2d1c-e748-2a74-b75f8847114e,genie
030e30f1-aeea-cd53-b0f864c551a8,Unable to connect from Databricks (dbw-smartfleet) to mongo instance running in int-hal-pe-prd subscription.
8f4dad1e-5683-2272-251beb8062dd,2205 - g - ARR - GAP - External data access using ACLs
00040382-a7ab-383e-37eed68f4133,Prolonged execution time for PySpark SQL jobs in Azure databricks
ac9f5a77-fb67-6329-c589fc558454,Cannot mount a storage account
c3f738b9-0aac-888d-c77c19c954e8,"Unable to run Synapse connector code, Job fails"
58a90af1-ce58-2fac-b373b4476bbd,databricks is holding this process for a long time without marking to success
928350f9-9dd4-f176-1b1c70677f1c,Trino Delta Connector
e4a8d9bc-9f47-fce0-f2a1d117320d,"Not able to run code, genie"
7b08c927-0027-96f8-9608e16f29db,ARR - AT&T - 2204280040000761 - Unknown instance type messages in the log
a6f9cc46-21e3-af85-3ef688bf9fae,ARR - AT&T - 2205030040006573 - Disk expansion with jobs
1179cdcd-0413-b973-2447570a3b82,Genie:ARR:SevB - Need to get Public IP of Azure Databricks Workspace:SR-2205060010002214
adb410b9-455d-0704-5bd7ceffc9c7,ARR - 2205030030001177
a02d748f-008c-f7a0-02d9599ae5e9,Genie: Safeway || 2204220010001571 || log4j enable Debug
c0524577-b091-620a-89960c040f85,Need help with SHOW CREATE TABLE in spark higher version
85380560-85c3-9d6b-b4696150c10c,Genie access request
65721bea-15bc-8dc3-371950d9e10d,Cluster startup errors
cbae817a-b818-664d-395a186819ea,I cannot make edits to instance pools
4b27316b-bf30-bd06-f73fdd3ce4af,SSH access for E2 secure clusters
1bf91d9c-a89a-4935-dbc9d5c3a042,Genie: Capital Group || 2205060040005682 || When upgrading from 8.3 to 9 LTS or 10.4 LTS we are seeing job run increase
ae6daa3a-fa47-8b6f-52c9e5d3239b,Genie: Capital Group || 2205060040005682 || When upgrading from 8.3 to 9 LTS or 10.4 LTS we are seeing job run increase
6505c048-5fb7-f902-452d58707176,Genie: Capital Group || 2205060040005682 || When upgrading from 8.3 to 9 LTS or 10.4 LTS we are seeing job run increase
2a6926b8-7798-071a-7b3b8d77c491,ARR || NFCU || 220301004000853 || Cluster AAD connectivity down
026eb5f1-5abf-f3ea-874f5e090384,OIDC for E2 - Missing email claim
7685d85a-7e69-179d-ffbc1aea7ec1,Fail to install python library glpk 
b3aca081-e71b-4bb3-d5ba10991584,table access
5c30240c-c195-abbf-3446522d882d, org.apache.spark.sql.AnalysisException: Incompatible format detected.
7e519f4b-cb9b-8d98-c0805446d6d4,Can't specify configuration to SSE-KMS on a per-bucket basis
d67a3da5-90d5-9cd0-5146a28fdc98,Long running time of pymc3 sampling
e3167e4f-a800-72de-112cfb211faa,Issues Serving Pyspark Recommendations Models
317a6745-5c65-78fd-4df24e6b054b,Account-level Groups UI Issues
c7a981e6-cd1c-6f48-d8363481a06f,"ARR | MLFlow project run failure, no logs available | 2203230050002013"
4ded8b30-ff18-8c89-84038d8526cc,5829038454671229 - 10280a44-7716-4c2a-8238-1b1796d4fde3 - 2205060040004996
926a9007-f73e-a65a-4ebc26490744,genie
60c2f3f1-c764-e48e-0854853ef6c6,User unable to log in
a53347b2-1a01-1c2e-c612ce01d07d,Genie:ARR:SevB - access the API inside Azure Databricks but failure in name resolution error:SR-2205040030001343
0d719c30-d46b-c5a0-dad363bb8028,Backend service unavailable - Unable to see list of clusters
2e93e148-47d4-0409-6e31ea55144b,Genie:ARR: Issue while connecting to Azure SQL using PYODBC driver Can't open lib 'ODBC Driver 17 for SQL Server' : file not found (0):SR2205060040003815
84fdbd17-0e58-d3cc-7141c57a5e82,feature request(db connect using secret scopes) Case
aa9d8465-31c8-44fa-6dc69361bb56,2205060010001700 | Job Failure
229d9686-7203-172c-e827be0895fd,AutoLoader Performance Issues
4db7cbae-33ce-db8c-a2a19e4427e4,2204110040000576 | Private Endpoint
fe0b1dc3-f08a-c101-0ec2cff0f46a,2111250050000480 - genie 987
81d291c3-7765-6a39-15248ff0a483,Admin Account Console SSO
70ec54cc-f2e4-6003-130f349fddc2,genie for #2204110030001092
37051289-db99-49d9-01cf2566d5cf,genie
0bbc49db-e00f-01b0-1de1b3eb27ad,genie
f9526ae0-984b-6aa6-583178dfae99,2204220010000657 | Cluster CRUD
e9cf78bf-b0e7-de0e-cdb5c2fff3ea,follow-up for SF # 00143521
62619353-7833-4417-9e1ee5b78d88,2.21E+15
979e927e-5638-3a0a-071c4b06ca33,2204220010000657 | Cluster startup
c93e9b52-98c0-b145-7ecdfbd2d45b,ARR Customer Cummins - Not able to run Scala scripts on 10.4 LTS
38903bf4-5a13-5f9c-6671bc3c7895,2205050030001596_Need assistance to recover MICROSOFT.DATABRICKS/WORKSPACES/DBWORKSPACES deleted at 4/29
99f3cfe5-e7c2-4717-0fb1fe26ff23,Py4JJavaError: An error occurred while calling o69119.collectToPython
2bfeaecb-ba68-c0d6-d0422234762b,Follow up of  (00141972)Significant performance degradation when upgrating from 9.1 ML LTS to 10.4 ML LTS. 'Process Test Performance
ada46935-4eca-f12e-ca37d2b39de2,Connection pool shut down
557d3c99-70b4-709e-cb0ad9fcc320,Data Lake multiple Hourly Job Failures due to Invalid access token error
4547af65-0102-7f6e-7a4ab1471446,Failed to open Delta Live Tables Pipeline page-Genie
24347c55-ec7f-5b0b-99ec7b9c250d,2205050050001878  notebook to store parquet files executing already for 60 hours.
383fdafb-9e98-16f3-c79574eb5f09,Clusters not coming up: Unexpected launch failure
2ef30c50-0788-7b08-eddb7a58c973,Unable to delete Private Endpoint connection in AzureDatabricksworkspaces- 220429003000055
836b99d5-99a3-3111-dacf5dea4fa5,UI is limited for DBFS
fbc875e4-ac2c-26fa-1b74d0b617d0,2205040030001887 | ARR | Job failure due to 'StreamingQueryException: next on empty iterator'
ad057f21-0bc3-029a-d46b70583e18,Deprecating support for updating regions on Workspaces
b029187b-32f1-347c-acbdb4aedde0,genie for #2205020010000466
66fed789-5f3a-cfb6-e80a1bc8cc82,2205050050001878 genie
aa772fe0-8a50-b6d4-8705937ae7af,2.20E+15
a0764a68-6e2d-7814-4657e97bedae,"Databricks execution failed with error state: InternalError, error message: Library installation failed for library due to infra fault. "
dfeae17f-28c4-3bf6-30bc6e3e9459,Increase input rate for DLT
db323433-8208-4104-35b983706036,genie
258b2f3d-cc35-272c-8683f539d3b8,"2205050030000380  When the same notebook runs with job cluster, it is not able to parse a particular xml block and returns NULL instead"
5356fadb-5022-f2f6-d41839197a33,genie
2e46136a-c3d2-fd1b-dc01ca317abf,Unable to start cluster
9752b9b9-6ed8-72f3-9a943cb83fdd,Spark driver fails on write operation on Azure Synapse and failure in Azure Synapse connection to ADLS2 account
fcde0a95-d8f1-1f0d-29f5ab0a6a17,FOLLOUP | ARR | 2204250060001035 | Error with union command saying object of type 'NoneType' has no len() only in DBR 9.1 LTS
0726213e-0b05-8e28-bb67b8ac0df0,cluster
1863d1ce-bb32-b36f-2be5ec2fd3fe,"Jobs failing with ""Unexpected failure while waiting for the cluster"""
03112180-c1f1-4866-45c34206874c,2205050010000980_notebook is taking longer time
cab3a552-66ae-2958-5ea3781c2673,Random issue running a query in Databricks
8f76fcb8-da05-b795-a999828bba9b,Databricks doesn't use external metastore
6f03b597-1ec7-38ca-0a6095136f4e,Unable to read table using spark sql
40c0ae8b-ed42-3b16-ca239b22a6e1,java.util.NoSuchElementException 
bddafe2a-4602-53e3-b030b33e701a,[ARR][Compilation Error][Genie]
cd515b8f-a21f-8fc4-fc9ec35b7a4b,[ARR] [Sev B] SR-2204180030001121  query is running since 6 hours
b3fc0866-f095-4bd3-e3c1d7ef99bc,"Job failed intermittently with ""java.lang.ClassNotFoundException: com.crealytics.spark.excel.DefaultSource"""
516dd596-7df2-7b16-4597724f37a0,Genie-2205060030000515
9b6a8d21-0357-9c69-73c980992ae1,Genie Access - SR 1420256201526416
9b805b1e-aec9-9632-93b8fa57fcab,2.20E+15
9cce4bc0-3a21-2e6c-10bbec8ac3f3,2.21E+15
5e073e72-02c2-f68a-9c554a912724,one node in a bad status
72f34356-f2e5-8d23-a6dcf033cef3,2205050010000980_Need Genie Access
603026af-4c23-9ea7-04adc1c0c9dd,genie
14397c14-22fb-fc35-143f3fbe4788,Getting 504 timeout error when using API to get list of groups/users
